"행정구역(시군구)별","연령별","항목","단위","2025.04 월","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"전국","73세","총인구수[명]","명","445795","354378","424994","341431","335832","311811","346700","432512","423583","422400","415438","387886",
"전국","74세","총인구수[명]","명","390659","312164","347652","417209","335307","330238","306754","341531","423178","415348","415887","409126",
"전국","75세","총인구수[명]","명","413895","319873","305254","340356","408443","328898","324245","301435","333449","413907","408011","408805",
"전국","76세","총인구수[명]","명","396051","286684","312030","298017","332373","399138","322030","317624","293433","325370","405848","400233",
"전국","77세","총인구수[명]","명","389945","263466","278572","303630","290050","323880","389497","314642","308450","285353","318261","397170",
"전국","78세","총인구수[명]","명","364287","244739","254947","269899","294405","281424","315234","378943","304687","299045","277890","310514",
"전국","79세","총인구수[명]","명","253115","230920","235740","245988","260703","284404","272536","305468","365353","293786","290204","269952",
"전국","80세","총인구수[명]","명","278196","202109","221366","226441","236440","250659","274145","263047","293235","350271","283679","280780",
"전국","81세","총인구수[명]","명","265373","170529","192707","211291","216390","226215","240644","263250","250984","279594","336208","272939",
"전국","82세","총인구수[명]","명","308015","154892","161520","182857","200619","205546","215831","229644","249681","237547","266638","321363",
"전국","83세","총인구수[명]","명","278049","125609","145662","152230","172333","189010","194701","204672","216394","234383","224760","253302",
"전국","84세","총인구수[명]","명","215461","113597","117252","136311","142364","161164","177698","183322","191531","201554","219992","211640",
"전국","85세","총인구수[명]","명","202371","101454","105050","108646","126316","131986","150234","165702","170045","176508","187585","205355",
"전국","86세","총인구수[명]","명","181042","85776","92884","96441","99951","116012","122000","138986","152308","154677","162694","173422",
"전국","87세","총인구수[명]","명","150558","71941","77619","84464","87556","90800","106083","111642","126276","136960","141035","148723",
"전국","88세","총인구수[명]","명","132749","53239","64233","69702","75834","78557","82024","95956","100140","112084","123201","127411",
"전국","89세","총인구수[명]","명","111917","44997","46917","56911","61796","67043","69976","73201","84887","87015","99232","109609",
"전국","90세","총인구수[명]","명","91374","34671","39061","40825","49612","53871","58984","61471","63796","72642","75771","86601",
"전국","91세","총인구수[명]","명","68989","34018","29503","33432","34909","42582","46791","51192","52699","53296","62393","65163",
"전국","92세","총인구수[명]","명","53030","26487","28787","24961","28262","29257","36397","40071","43002","43035","44850","52589",
"전국","93세","총인구수[명]","명","40615","18164","22015","24106","20684","23226","24602","30653","33020","34541","35475","37064",
"전국","94세","총인구수[명]","명","28672","13352","14848","18164","19769","16758","19094","20317","24730","25792","27940","28825",
"전국","95세","총인구수[명]","명","22480","9687","10820","12132","14616","15894","13588","15518","15707","18748","20357","22258",
"전국","96세","총인구수[명]","명","16642","6751","7763","8766","9619","11613","12811","10954","11588","11404","14474","15836",
"전국","97세","총인구수[명]","명","11222","5503","5344","6199","6922","7562","9225","10214","7928","8133","8648","10996",
"전국","98세","총인구수[명]","명","7351","3975","4318","4286","4832","5392","5993","7296","7275","5402","5891","6369",
"전국","99세","총인구수[명]","명","4257","2901","3169","3461","3305","3752","4274","4774","4799","4752","3839","4224",
"전국","100세 이상","총인구수[명]","명","8806","15006","16209","17562","17850","18783","20160","21912","7961","7733","8537","8577",
"서울특별시","계","총인구수[명]","명","9331860","10103233","10022181","9930616","9857426","9765623","9729107","9668465","9509458","9428372","9386034","9331828",
"서울특별시","0세","총인구수[명]","명","40946","78101","77668","70798","61253","54719","51145","45165","43410","40742","37771","39588",
"서울특별시","1세","총인구수[명]","명","37352","78973","78187","76955","70532","60805","54779","50482","44904","43950","41087","37696",
"서울특별시","2세","총인구수[명]","명","39165","85889","76152","74874","74322","67262","59128","53099","48900","44177","43013","40295",
"서울특별시","3세","총인구수[명]","명","41604","80892","83046","73373","72482","71433","65734","57331","51445","48120","43637","42163",
"서울특별시","4세","총인구수[명]","명","42812","80514","78850","80575","71688","70251","70013","64404","55879","50630","47506","43155",
"서울특별시","5세","총인구수[명]","명","45548","75678","78745","76864","78941","69728","69139","68808","62987","55088","50291","47146",
"서울특별시","6세","총인구수[명]","명","49350","79615","74176","77045","75386","76957","69031","68085","67581","62376","55100","50295",
"서울특별시","7세","총인구수[명]","명","53055","83620","78271","72626","75929","73813","76160","68257","66923","66960","62036","54899",
"서울특별시","8세","총인구수[명]","명","59419","76662","82452","76968","71772","74748","73259","75438","67174","66454","66691","61875",
